,Rank,Country/Territory,Type
1,1,Qatar,Oil & Gas
2,—,Macau,Tax haven (Sink OFC)
3,2,Luxembourg,Top 10 Tax haven (Sink OFC)
4,3,Singapore,Top 10 Tax haven (Conduit OFC)
5,4,Brunei,Oil & Gas
6,5,Ireland,Top 10 Tax haven (Conduit OFC)
7,6,Norway,Oil & Gas
8,7,Kuwait,Oil & Gas
9,8,United Arab Emirates,Oil & Gas
10,9,Switzerland,Top 10 Tax Haven (Conduit OFC)
11,—,Hong Kong,Top 10 Tax Haven (Sink OFC)
12,10,San Marino,Tax haven (Sink OFC)
13,11,United States,59495
14,12,Saudi Arabia,Oil & Gas
15,13,Netherlands,Top 10 Tax Haven (Conduit OFC)
16,14,Iceland,52150
17,15,Bahrain,Oil & Gas
