,Rank,Country,GNI per capita (US$),Year
1,87,Colombia,6510,2019
2,88,Equatorial Guinea,6460,2019
3,89,Belarus,6280,2019
4,90,Bosnia and Herzegovina,6150,2019
5,91,Ecuador,6080,2019
6,92,South Africa,6040,2019
7,93,North Macedonia,5910,2019
8,94,Fiji,5860,2019
9,95,Iraq,5740,2019
10,96,Tuvalu,5620,2019
11,97,Suriname,5540,2019
12,98,Paraguay,5540,2019
13,99,Iran,5420,2017
14,100,Jamaica,5250,2019
15,101,Albania,5240,2019
16,102,Guyana,5180,2019
17,103,Namibia,5060,2019
18,104,Marshall Islands,4860,2018
19,105,Georgia,4740,2019
20,106,Armenia,4680,2019
21,107,Kosovo,4640,2019
22,108,Guatemala,4610,2019
23,109,Azerbaijan,4480,2019
24,110,Belize,4450,2019
25,111,Tonga,4300,2018
26,112,Jordan,4300,2019
27,113,Samoa,4180,2019
28,114,Indonesia,4050,2019
